Service Prefix,Action,Combined
account,CloseAccount,account:CloseAccount
account,DeleteAlternateContact,account:DeleteAlternateContact
account,DisableRegion,account:DisableRegion
account,EnableRegion,account:EnableRegion
account,GetAccountInformation,account:GetAccountInformation
account,GetAlternateContact,account:GetAlternateContact
account,GetChallengeQuestions,account:GetChallengeQuestions
account,GetContactInformation,account:GetContactInformation
account,GetRegionOptStatus,account:GetRegionOptStatus
account,ListRegions,account:ListRegions
account,PutAlternateContact,account:PutAlternateContact
account,PutChallengeQuestions,account:PutChallengeQuestions
account,PutContactInformation,account:PutContactInformation
activate,CreateForm,activate:CreateForm
activate,GetAccountContact,activate:GetAccountContact
activate,GetContentInfo,activate:GetContentInfo
activate,GetCosts,activate:GetCosts
activate,GetCredits,activate:GetCredits
activate,GetMemberInfo,activate:GetMemberInfo
activate,GetProgram,activate:GetProgram
activate,PutMemberInfo,activate:PutMemberInfo
a4b,ApproveSkill,a4b:ApproveSkill
a4b,AssociateContactWithAddressBook,a4b:AssociateContactWithAddressBook
a4b,AssociateDeviceWithNetworkProfile,a4b:AssociateDeviceWithNetworkProfile
a4b,AssociateDeviceWithRoom,a4b:AssociateDeviceWithRoom
a4b,AssociateSkillGroupWithRoom,a4b:AssociateSkillGroupWithRoom
a4b,AssociateSkillWithSkillGroup,a4b:AssociateSkillWithSkillGroup
a4b,AssociateSkillWithUsers,a4b:AssociateSkillWithUsers
a4b,CompleteRegistration,a4b:CompleteRegistration
a4b,CreateAddressBook,a4b:CreateAddressBook
a4b,CreateBusinessReportSchedule,a4b:CreateBusinessReportSchedule
a4b,CreateConferenceProvider,a4b:CreateConferenceProvider
a4b,CreateContact,a4b:CreateContact
a4b,CreateGatewayGroup,a4b:CreateGatewayGroup
a4b,CreateNetworkProfile,a4b:CreateNetworkProfile
a4b,CreateProfile,a4b:CreateProfile
a4b,CreateRoom,a4b:CreateRoom
a4b,CreateSkillGroup,a4b:CreateSkillGroup
a4b,CreateUser,a4b:CreateUser
a4b,DeleteAddressBook,a4b:DeleteAddressBook
a4b,DeleteBusinessReportSchedule,a4b:DeleteBusinessReportSchedule
a4b,DeleteConferenceProvider,a4b:DeleteConferenceProvider
a4b,DeleteContact,a4b:DeleteContact
a4b,DeleteDevice,a4b:DeleteDevice
a4b,DeleteDeviceUsageData,a4b:DeleteDeviceUsageData
a4b,DeleteGatewayGroup,a4b:DeleteGatewayGroup
a4b,DeleteNetworkProfile,a4b:DeleteNetworkProfile
a4b,DeleteProfile,a4b:DeleteProfile
a4b,DeleteRoom,a4b:DeleteRoom
a4b,DeleteRoomSkillParameter,a4b:DeleteRoomSkillParameter
a4b,DeleteSkillAuthorization,a4b:DeleteSkillAuthorization
a4b,DeleteSkillGroup,a4b:DeleteSkillGroup
a4b,DeleteUser,a4b:DeleteUser
a4b,DisassociateContactFromAddressBook,a4b:DisassociateContactFromAddressBook
a4b,DisassociateDeviceFromRoom,a4b:DisassociateDeviceFromRoom
a4b,DisassociateSkillFromSkillGroup,a4b:DisassociateSkillFromSkillGroup
a4b,DisassociateSkillFromUsers,a4b:DisassociateSkillFromUsers
a4b,DisassociateSkillGroupFromRoom,a4b:DisassociateSkillGroupFromRoom
a4b,ForgetSmartHomeAppliances,a4b:ForgetSmartHomeAppliances
a4b,GetAddressBook,a4b:GetAddressBook
a4b,GetConferencePreference,a4b:GetConferencePreference
a4b,GetConferenceProvider,a4b:GetConferenceProvider
a4b,GetContact,a4b:GetContact
a4b,GetDevice,a4b:GetDevice
a4b,GetGateway,a4b:GetGateway
a4b,GetGatewayGroup,a4b:GetGatewayGroup
a4b,GetInvitationConfiguration,a4b:GetInvitationConfiguration
a4b,GetNetworkProfile,a4b:GetNetworkProfile
a4b,GetProfile,a4b:GetProfile
a4b,GetRoom,a4b:GetRoom
a4b,GetRoomSkillParameter,a4b:GetRoomSkillParameter
a4b,GetSkillGroup,a4b:GetSkillGroup
a4b,ListBusinessReportSchedules,a4b:ListBusinessReportSchedules
a4b,ListConferenceProviders,a4b:ListConferenceProviders
a4b,ListDeviceEvents,a4b:ListDeviceEvents
a4b,ListGatewayGroups,a4b:ListGatewayGroups
a4b,ListGateways,a4b:ListGateways
a4b,ListSkills,a4b:ListSkills
a4b,ListSkillsStoreCategories,a4b:ListSkillsStoreCategories
a4b,ListSkillsStoreSkillsByCategory,a4b:ListSkillsStoreSkillsByCategory
a4b,ListSmartHomeAppliances,a4b:ListSmartHomeAppliances
a4b,ListTags,a4b:ListTags
a4b,PutConferencePreference,a4b:PutConferencePreference
a4b,PutDeviceSetupEvents,a4b:PutDeviceSetupEvents
a4b,PutInvitationConfiguration,a4b:PutInvitationConfiguration
a4b,PutRoomSkillParameter,a4b:PutRoomSkillParameter
a4b,PutSkillAuthorization,a4b:PutSkillAuthorization
a4b,RegisterAVSDevice,a4b:RegisterAVSDevice
a4b,RegisterDevice,a4b:RegisterDevice
a4b,RejectSkill,a4b:RejectSkill
a4b,ResolveRoom,a4b:ResolveRoom
a4b,RevokeInvitation,a4b:RevokeInvitation
a4b,SearchAddressBooks,a4b:SearchAddressBooks
a4b,SearchContacts,a4b:SearchContacts
a4b,SearchDevices,a4b:SearchDevices
a4b,SearchNetworkProfiles,a4b:SearchNetworkProfiles
a4b,SearchProfiles,a4b:SearchProfiles
a4b,SearchRooms,a4b:SearchRooms
a4b,SearchSkillGroups,a4b:SearchSkillGroups
a4b,SearchUsers,a4b:SearchUsers
a4b,SendAnnouncement,a4b:SendAnnouncement
a4b,SendInvitation,a4b:SendInvitation
a4b,StartDeviceSync,a4b:StartDeviceSync
a4b,StartSmartHomeApplianceDiscovery,a4b:StartSmartHomeApplianceDiscovery
a4b,TagResource,a4b:TagResource
a4b,UntagResource,a4b:UntagResource
a4b,UpdateAddressBook,a4b:UpdateAddressBook
a4b,UpdateBusinessReportSchedule,a4b:UpdateBusinessReportSchedule
a4b,UpdateConferenceProvider,a4b:UpdateConferenceProvider
a4b,UpdateContact,a4b:UpdateContact
a4b,UpdateDevice,a4b:UpdateDevice
a4b,UpdateGateway,a4b:UpdateGateway
a4b,UpdateGatewayGroup,a4b:UpdateGatewayGroup
a4b,UpdateNetworkProfile,a4b:UpdateNetworkProfile
a4b,UpdateProfile,a4b:UpdateProfile
a4b,UpdateRoom,a4b:UpdateRoom
a4b,UpdateSkillGroup,a4b:UpdateSkillGroup
mediaimport,CreateDatabaseBinarySnapshot,mediaimport:CreateDatabaseBinarySnapshot
amplify,CreateApp,amplify:CreateApp
amplify,CreateBackendEnvironment,amplify:CreateBackendEnvironment
amplify,CreateBranch,amplify:CreateBranch
amplify,CreateDeployment,amplify:CreateDeployment
amplify,CreateDomainAssociation,amplify:CreateDomainAssociation
amplify,CreateWebHook,amplify:CreateWebHook
amplify,DeleteApp,amplify:DeleteApp
amplify,DeleteBackendEnvironment,amplify:DeleteBackendEnvironment
amplify,DeleteBranch,amplify:DeleteBranch
amplify,DeleteDomainAssociation,amplify:DeleteDomainAssociation
amplify,DeleteJob,amplify:DeleteJob
amplify,DeleteWebHook,amplify:DeleteWebHook
amplify,GenerateAccessLogs,amplify:GenerateAccessLogs
amplify,GetApp,amplify:GetApp
amplify,GetArtifactUrl,amplify:GetArtifactUrl
amplify,GetBackendEnvironment,amplify:GetBackendEnvironment
amplify,GetBranch,amplify:GetBranch
amplify,GetDomainAssociation,amplify:GetDomainAssociation
amplify,GetJob,amplify:GetJob
amplify,GetWebHook,amplify:GetWebHook
amplify,ListApps,amplify:ListApps
amplify,ListArtifacts,amplify:ListArtifacts
amplify,ListBackendEnvironments,amplify:ListBackendEnvironments
amplify,ListBranches,amplify:ListBranches
amplify,ListDomainAssociations,amplify:ListDomainAssociations
amplify,ListJobs,amplify:ListJobs
amplify,ListTagsForResource,amplify:ListTagsForResource
amplify,ListWebHooks,amplify:ListWebHooks
amplify,StartDeployment,amplify:StartDeployment
amplify,StartJob,amplify:StartJob
amplify,StopJob,amplify:StopJob
amplify,TagResource,amplify:TagResource
amplify,UntagResource,amplify:UntagResource
amplify,UpdateApp,amplify:UpdateApp
amplify,UpdateBranch,amplify:UpdateBranch
amplify,UpdateDomainAssociation,amplify:UpdateDomainAssociation
amplify,UpdateWebHook,amplify:UpdateWebHook
amplifybackend,CloneBackend,amplifybackend:CloneBackend
amplifybackend,CreateBackend,amplifybackend:CreateBackend
amplifybackend,CreateBackendAPI,amplifybackend:CreateBackendAPI
amplifybackend,CreateBackendAuth,amplifybackend:CreateBackendAuth
amplifybackend,CreateBackendConfig,amplifybackend:CreateBackendConfig
amplifybackend,CreateBackendStorage,amplifybackend:CreateBackendStorage
amplifybackend,CreateToken,amplifybackend:CreateToken
amplifybackend,DeleteBackend,amplifybackend:DeleteBackend
amplifybackend,DeleteBackendAPI,amplifybackend:DeleteBackendAPI
amplifybackend,DeleteBackendAuth,amplifybackend:DeleteBackendAuth
amplifybackend,DeleteBackendStorage,amplifybackend:DeleteBackendStorage
amplifybackend,DeleteToken,amplifybackend:DeleteToken
amplifybackend,GenerateBackendAPIModels,amplifybackend:GenerateBackendAPIModels
amplifybackend,GetBackend,amplifybackend:GetBackend
amplifybackend,GetBackendAPI,amplifybackend:GetBackendAPI
amplifybackend,GetBackendAPIModels,amplifybackend:GetBackendAPIModels
amplifybackend,GetBackendAuth,amplifybackend:GetBackendAuth
amplifybackend,GetBackendJob,amplifybackend:GetBackendJob
amplifybackend,GetBackendStorage,amplifybackend:GetBackendStorage
amplifybackend,GetToken,amplifybackend:GetToken
amplifybackend,ImportBackendAuth,amplifybackend:ImportBackendAuth
amplifybackend,ImportBackendStorage,amplifybackend:ImportBackendStorage
amplifybackend,ListBackendJobs,amplifybackend:ListBackendJobs
amplifybackend,ListS3Buckets,amplifybackend:ListS3Buckets
amplifybackend,RemoveAllBackends,amplifybackend:RemoveAllBackends
amplifybackend,RemoveBackendConfig,amplifybackend:RemoveBackendConfig
amplifybackend,UpdateBackendAPI,amplifybackend:UpdateBackendAPI
amplifybackend,UpdateBackendAuth,amplifybackend:UpdateBackendAuth
amplifybackend,UpdateBackendConfig,amplifybackend:UpdateBackendConfig
amplifybackend,UpdateBackendJob,amplifybackend:UpdateBackendJob
amplifybackend,UpdateBackendStorage,amplifybackend:UpdateBackendStorage
amplifyuibuilder,CreateComponent,amplifyuibuilder:CreateComponent
amplifyuibuilder,CreateForm,amplifyuibuilder:CreateForm
amplifyuibuilder,CreateTheme,amplifyuibuilder:CreateTheme
amplifyuibuilder,DeleteComponent,amplifyuibuilder:DeleteComponent
amplifyuibuilder,DeleteForm,amplifyuibuilder:DeleteForm
amplifyuibuilder,DeleteTheme,amplifyuibuilder:DeleteTheme
amplifyuibuilder,ExportComponents,amplifyuibuilder:ExportComponents
amplifyuibuilder,ExportForms,amplifyuibuilder:ExportForms
amplifyuibuilder,ExportThemes,amplifyuibuilder:ExportThemes
amplifyuibuilder,GetComponent,amplifyuibuilder:GetComponent
amplifyuibuilder,GetForm,amplifyuibuilder:GetForm
amplifyuibuilder,GetMetadata,amplifyuibuilder:GetMetadata
amplifyuibuilder,GetTheme,amplifyuibuilder:GetTheme
amplifyuibuilder,ListComponents,amplifyuibuilder:ListComponents
amplifyuibuilder,ListForms,amplifyuibuilder:ListForms
amplifyuibuilder,ListThemes,amplifyuibuilder:ListThemes
amplifyuibuilder,PutMetadataFlag,amplifyuibuilder:PutMetadataFlag
amplifyuibuilder,ResetMetadataFlag,amplifyuibuilder:ResetMetadataFlag
amplifyuibuilder,UpdateComponent,amplifyuibuilder:UpdateComponent
amplifyuibuilder,UpdateForm,amplifyuibuilder:UpdateForm
amplifyuibuilder,UpdateTheme,amplifyuibuilder:UpdateTheme
kafka-cluster,AlterCluster,kafka-cluster:AlterCluster
kafka-cluster,AlterClusterDynamicConfiguration,kafka-cluster:AlterClusterDynamicConfiguration
kafka-cluster,AlterGroup,kafka-cluster:AlterGroup
kafka-cluster,AlterTopic,kafka-cluster:AlterTopic
kafka-cluster,AlterTopicDynamicConfiguration,kafka-cluster:AlterTopicDynamicConfiguration
kafka-cluster,AlterTransactionalId,kafka-cluster:AlterTransactionalId
kafka-cluster,CreateTopic,kafka-cluster:CreateTopic
kafka-cluster,DeleteGroup,kafka-cluster:DeleteGroup
kafka-cluster,DeleteTopic,kafka-cluster:DeleteTopic
kafka-cluster,DescribeCluster,kafka-cluster:DescribeCluster
kafka-cluster,DescribeClusterDynamicConfiguration,kafka-cluster:DescribeClusterDynamicConfiguration
kafka-cluster,DescribeGroup,kafka-cluster:DescribeGroup
kafka-cluster,DescribeTopic,kafka-cluster:DescribeTopic
kafka-cluster,DescribeTopicDynamicConfiguration,kafka-cluster:DescribeTopicDynamicConfiguration
kafka-cluster,DescribeTransactionalId,kafka-cluster:DescribeTransactionalId
kafka-cluster,ReadData,kafka-cluster:ReadData
kafka-cluster,WriteData,kafka-cluster:WriteData
kafka-cluster,WriteDataIdempotently,kafka-cluster:WriteDataIdempotently
execute-api,InvalidateCache,execute-api:InvalidateCache
execute-api,ManageConnections,execute-api:ManageConnections
apigateway,AddCertificateToDomain,apigateway:AddCertificateToDomain
apigateway,DomainNames,apigateway:DomainNames
apigateway,BasePathMapping,apigateway:BasePathMapping
apigateway,ClientCertificate,apigateway:ClientCertificate
apigateway,DocumentationPart,apigateway:DocumentationPart
apigateway,DocumentationVersion,apigateway:DocumentationVersion
apigateway,DomainName,apigateway:DomainName
apigateway,GatewayResponse,apigateway:GatewayResponse
apigateway,IntegrationResponse,apigateway:IntegrationResponse
apigateway,MethodResponse,apigateway:MethodResponse
apigateway,RequestValidator,apigateway:RequestValidator
apigateway,RestApi,apigateway:RestApi
apigateway,UsagePlan,apigateway:UsagePlan
apigateway,UsagePlanKey,apigateway:UsagePlanKey
apigateway,VpcLink,apigateway:VpcLink
apigateway,ApiKey,apigateway:ApiKey
apigateway,ApiKeys,apigateway:ApiKeys
apigateway,BasePathMapping,apigateway:BasePathMapping
apigateway,BasePathMappings,apigateway:BasePathMappings
apigateway,ClientCertificate,apigateway:ClientCertificate
apigateway,ClientCertificates,apigateway:ClientCertificates
apigateway,DocumentationPart,apigateway:DocumentationPart
apigateway,DocumentationParts,apigateway:DocumentationParts
apigateway,DocumentationVersion,apigateway:DocumentationVersion
apigateway,DocumentationVersions,apigateway:DocumentationVersions
apigateway,DomainName,apigateway:DomainName
apigateway,DomainNames,apigateway:DomainNames
apigateway,GatewayResponse,apigateway:GatewayResponse
apigateway,GatewayResponses,apigateway:GatewayResponses
apigateway,IntegrationResponse,apigateway:IntegrationResponse
apigateway,MethodResponse,apigateway:MethodResponse
apigateway,RequestValidator,apigateway:RequestValidator
apigateway,RequestValidators,apigateway:RequestValidators
apigateway,RestApi,apigateway:RestApi
apigateway,RestApis,apigateway:RestApis
apigateway,UsagePlan,apigateway:UsagePlan
apigateway,UsagePlanKey,apigateway:UsagePlanKey
apigateway,UsagePlanKeys,apigateway:UsagePlanKeys
apigateway,UsagePlans,apigateway:UsagePlans
apigateway,VpcLink,apigateway:VpcLink
apigateway,VpcLinks,apigateway:VpcLinks
apigateway,ApiKey,apigateway:ApiKey
apigateway,BasePathMapping,apigateway:BasePathMapping
apigateway,ClientCertificate,apigateway:ClientCertificate
apigateway,DocumentationPart,apigateway:DocumentationPart
apigateway,DocumentationVersion,apigateway:DocumentationVersion
apigateway,DomainName,apigateway:DomainName
apigateway,GatewayResponse,apigateway:GatewayResponse
apigateway,IntegrationResponse,apigateway:IntegrationResponse
apigateway,MethodResponse,apigateway:MethodResponse
apigateway,RequestValidator,apigateway:RequestValidator
apigateway,RestApi,apigateway:RestApi
apigateway,UsagePlan,apigateway:UsagePlan
apigateway,UsagePlanKey,apigateway:UsagePlanKey
apigateway,VpcLink,apigateway:VpcLink
apigateway,BasePathMappings,apigateway:BasePathMappings
apigateway,ClientCertificates,apigateway:ClientCertificates
apigateway,DocumentationParts,apigateway:DocumentationParts
apigateway,DocumentationVersions,apigateway:DocumentationVersions
apigateway,DomainNames,apigateway:DomainNames
apigateway,GatewayResponses,apigateway:GatewayResponses
apigateway,IntegrationResponse,apigateway:IntegrationResponse
apigateway,MethodResponse,apigateway:MethodResponse
apigateway,RequestValidators,apigateway:RequestValidators
apigateway,RestApis,apigateway:RestApis
apigateway,UsagePlanKeys,apigateway:UsagePlanKeys
apigateway,UsagePlans,apigateway:UsagePlans
apigateway,VpcLinks,apigateway:VpcLinks
apigateway,GatewayResponse,apigateway:GatewayResponse
apigateway,IntegrationResponse,apigateway:IntegrationResponse
apigateway,MethodResponse,apigateway:MethodResponse
apigateway,RestApi,apigateway:RestApi
apigateway,RemoveCertificateFromDomain,apigateway:RemoveCertificateFromDomain
apigateway,DomainNames,apigateway:DomainNames
apigateway,SetWebACL,apigateway:SetWebACL
apigateway,UpdateRestApiPolicy,apigateway:UpdateRestApiPolicy
apigateway,RestApis,apigateway:RestApis
apigateway,ApiMapping,apigateway:ApiMapping
apigateway,AuthorizersCache,apigateway:AuthorizersCache
apigateway,IntegrationResponse,apigateway:IntegrationResponse
apigateway,RouteRequestParameter,apigateway:RouteRequestParameter
apigateway,RouteResponse,apigateway:RouteResponse
apigateway,RouteSettings,apigateway:RouteSettings
apigateway,ApiMapping,apigateway:ApiMapping
apigateway,ApiMappings,apigateway:ApiMappings
apigateway,AuthorizersCache,apigateway:AuthorizersCache
apigateway,ExportedAPI,apigateway:ExportedAPI
apigateway,IntegrationResponse,apigateway:IntegrationResponse
apigateway,IntegrationResponses,apigateway:IntegrationResponses
apigateway,ModelTemplate,apigateway:ModelTemplate
apigateway,RouteRequestParameter,apigateway:RouteRequestParameter
apigateway,RouteResponse,apigateway:RouteResponse
apigateway,RouteResponses,apigateway:RouteResponses
apigateway,RouteSettings,apigateway:RouteSettings
apigateway,ApiMapping,apigateway:ApiMapping
apigateway,IntegrationResponse,apigateway:IntegrationResponse
apigateway,RouteRequestParameter,apigateway:RouteRequestParameter
apigateway,RouteResponse,apigateway:RouteResponse
apigateway,IntegrationResponses,apigateway:IntegrationResponses
apigateway,RouteResponses,apigateway:RouteResponses
appmesh,CreateGatewayRoute,appmesh:CreateGatewayRoute
appmesh,CreateMesh,appmesh:CreateMesh
appmesh,CreateRoute,appmesh:CreateRoute
appmesh,CreateVirtualGateway,appmesh:CreateVirtualGateway
appmesh,CreateVirtualNode,appmesh:CreateVirtualNode
appmesh,CreateVirtualRouter,appmesh:CreateVirtualRouter
appmesh,CreateVirtualService,appmesh:CreateVirtualService
appmesh,DeleteGatewayRoute,appmesh:DeleteGatewayRoute
appmesh,DeleteMesh,appmesh:DeleteMesh
appmesh,DeleteRoute,appmesh:DeleteRoute
appmesh,DeleteVirtualGateway,appmesh:DeleteVirtualGateway
appmesh,DeleteVirtualNode,appmesh:DeleteVirtualNode
appmesh,DeleteVirtualRouter,appmesh:DeleteVirtualRouter
appmesh,DeleteVirtualService,appmesh:DeleteVirtualService
appmesh,DescribeGatewayRoute,appmesh:DescribeGatewayRoute
appmesh,DescribeMesh,appmesh:DescribeMesh
appmesh,DescribeRoute,appmesh:DescribeRoute
appmesh,DescribeVirtualGateway,appmesh:DescribeVirtualGateway
appmesh,DescribeVirtualNode,appmesh:DescribeVirtualNode
appmesh,DescribeVirtualRouter,appmesh:DescribeVirtualRouter
appmesh,DescribeVirtualService,appmesh:DescribeVirtualService
appmesh,ListGatewayRoutes,appmesh:ListGatewayRoutes
appmesh,ListMeshes,appmesh:ListMeshes
appmesh,ListRoutes,appmesh:ListRoutes
appmesh,ListTagsForResource,appmesh:ListTagsForResource
appmesh,ListVirtualGateways,appmesh:ListVirtualGateways
appmesh,ListVirtualNodes,appmesh:ListVirtualNodes
appmesh,ListVirtualRouters,appmesh:ListVirtualRouters
appmesh,ListVirtualServices,appmesh:ListVirtualServices
appmesh,StreamAggregatedResources,appmesh:StreamAggregatedResources
appmesh,TagResource,appmesh:TagResource
appmesh,UntagResource,appmesh:UntagResource
appmesh,UpdateGatewayRoute,appmesh:UpdateGatewayRoute
appmesh,UpdateMesh,appmesh:UpdateMesh
appmesh,UpdateRoute,appmesh:UpdateRoute
appmesh,UpdateVirtualGateway,appmesh:UpdateVirtualGateway
appmesh,UpdateVirtualNode,appmesh:UpdateVirtualNode
appmesh,UpdateVirtualRouter,appmesh:UpdateVirtualRouter
appmesh,UpdateVirtualService,appmesh:UpdateVirtualService
appmesh-preview,CreateGatewayRoute,appmesh-preview:CreateGatewayRoute
appmesh-preview,CreateMesh,appmesh-preview:CreateMesh
appmesh-preview,CreateRoute,appmesh-preview:CreateRoute
appmesh-preview,CreateVirtualGateway,appmesh-preview:CreateVirtualGateway
appmesh-preview,CreateVirtualNode,appmesh-preview:CreateVirtualNode
appmesh-preview,CreateVirtualRouter,appmesh-preview:CreateVirtualRouter
appmesh-preview,CreateVirtualService,appmesh-preview:CreateVirtualService
appmesh-preview,DeleteGatewayRoute,appmesh-preview:DeleteGatewayRoute
appmesh-preview,DeleteMesh,appmesh-preview:DeleteMesh
appmesh-preview,DeleteRoute,appmesh-preview:DeleteRoute
appmesh-preview,DeleteVirtualGateway,appmesh-preview:DeleteVirtualGateway
appmesh-preview,DeleteVirtualNode,appmesh-preview:DeleteVirtualNode
appmesh-preview,DeleteVirtualRouter,appmesh-preview:DeleteVirtualRouter
appmesh-preview,DeleteVirtualService,appmesh-preview:DeleteVirtualService
appmesh-preview,DescribeGatewayRoute,appmesh-preview:DescribeGatewayRoute
appmesh-preview,DescribeMesh,appmesh-preview:DescribeMesh
appmesh-preview,DescribeRoute,appmesh-preview:DescribeRoute
appmesh-preview,DescribeVirtualGateway,appmesh-preview:DescribeVirtualGateway
appmesh-preview,DescribeVirtualNode,appmesh-preview:DescribeVirtualNode
appmesh-preview,DescribeVirtualRouter,appmesh-preview:DescribeVirtualRouter
appmesh-preview,DescribeVirtualService,appmesh-preview:DescribeVirtualService
appmesh-preview,ListGatewayRoutes,appmesh-preview:ListGatewayRoutes
appmesh-preview,ListMeshes,appmesh-preview:ListMeshes
appmesh-preview,ListRoutes,appmesh-preview:ListRoutes
appmesh-preview,ListVirtualGateways,appmesh-preview:ListVirtualGateways
appmesh-preview,ListVirtualNodes,appmesh-preview:ListVirtualNodes
appmesh-preview,ListVirtualRouters,appmesh-preview:ListVirtualRouters
appmesh-preview,ListVirtualServices,appmesh-preview:ListVirtualServices
appmesh-preview,StreamAggregatedResources,appmesh-preview:StreamAggregatedResources
appmesh-preview,UpdateGatewayRoute,appmesh-preview:UpdateGatewayRoute
appmesh-preview,UpdateMesh,appmesh-preview:UpdateMesh
appmesh-preview,UpdateRoute,appmesh-preview:UpdateRoute
appmesh-preview,UpdateVirtualGateway,appmesh-preview:UpdateVirtualGateway
appmesh-preview,UpdateVirtualNode,appmesh-preview:UpdateVirtualNode
appmesh-preview,UpdateVirtualRouter,appmesh-preview:UpdateVirtualRouter
appmesh-preview,UpdateVirtualService,appmesh-preview:UpdateVirtualService
apprunner,AssociateCustomDomain,apprunner:AssociateCustomDomain
apprunner,AssociateWebAcl,apprunner:AssociateWebAcl
apprunner,CreateAutoScalingConfiguration,apprunner:CreateAutoScalingConfiguration
apprunner,CreateConnection,apprunner:CreateConnection
apprunner,CreateObservabilityConfiguration,apprunner:CreateObservabilityConfiguration
apprunner,CreateService,apprunner:CreateService
apprunner,CreateVpcConnector,apprunner:CreateVpcConnector
apprunner,CreateVpcIngressConnection,apprunner:CreateVpcIngressConnection
apprunner,DeleteAutoScalingConfiguration,apprunner:DeleteAutoScalingConfiguration
apprunner,DeleteConnection,apprunner:DeleteConnection
apprunner,DeleteObservabilityConfiguration,apprunner:DeleteObservabilityConfiguration
apprunner,DeleteService,apprunner:DeleteService
apprunner,DeleteVpcConnector,apprunner:DeleteVpcConnector
apprunner,DeleteVpcIngressConnection,apprunner:DeleteVpcIngressConnection
apprunner,DescribeAutoScalingConfiguration,apprunner:DescribeAutoScalingConfiguration
apprunner,DescribeCustomDomains,apprunner:DescribeCustomDomains
apprunner,DescribeObservabilityConfiguration,apprunner:DescribeObservabilityConfiguration
apprunner,DescribeOperation,apprunner:DescribeOperation
apprunner,DescribeService,apprunner:DescribeService
apprunner,DescribeVpcConnector,apprunner:DescribeVpcConnector
apprunner,DescribeVpcIngressConnection,apprunner:DescribeVpcIngressConnection
apprunner,DescribeWebAclForService,apprunner:DescribeWebAclForService
apprunner,DisassociateCustomDomain,apprunner:DisassociateCustomDomain
apprunner,DisassociateWebAcl,apprunner:DisassociateWebAcl
apprunner,ListAssociatedServicesForWebAcl,apprunner:ListAssociatedServicesForWebAcl
apprunner,ListAutoScalingConfigurations,apprunner:ListAutoScalingConfigurations
apprunner,ListConnections,apprunner:ListConnections
apprunner,ListObservabilityConfigurations,apprunner:ListObservabilityConfigurations
apprunner,ListOperations,apprunner:ListOperations
apprunner,ListServices,apprunner:ListServices
apprunner,ListTagsForResource,apprunner:ListTagsForResource
apprunner,ListVpcConnectors,apprunner:ListVpcConnectors
apprunner,ListVpcIngressConnections,apprunner:ListVpcIngressConnections
apprunner,PauseService,apprunner:PauseService
apprunner,ResumeService,apprunner:ResumeService
apprunner,StartDeployment,apprunner:StartDeployment
apprunner,TagResource,apprunner:TagResource
apprunner,UntagResource,apprunner:UntagResource
apprunner,UpdateService,apprunner:UpdateService
apprunner,UpdateVpcIngressConnection,apprunner:UpdateVpcIngressConnection
a2c,GetContainerizationJobDetails,a2c:GetContainerizationJobDetails
a2c,GetDeploymentJobDetails,a2c:GetDeploymentJobDetails
a2c,StartContainerizationJob,a2c:StartContainerizationJob
a2c,StartDeploymentJob,a2c:StartDeploymentJob
appconfig,CreateApplication,appconfig:CreateApplication
appconfig,CreateConfigurationProfile,appconfig:CreateConfigurationProfile
appconfig,CreateDeploymentStrategy,appconfig:CreateDeploymentStrategy
appconfig,CreateEnvironment,appconfig:CreateEnvironment
appconfig,CreateExtension,appconfig:CreateExtension
appconfig,CreateExtensionAssociation,appconfig:CreateExtensionAssociation
appconfig,CreateHostedConfigurationVersion,appconfig:CreateHostedConfigurationVersion
appconfig,DeleteApplication,appconfig:DeleteApplication
appconfig,DeleteConfigurationProfile,appconfig:DeleteConfigurationProfile
appconfig,DeleteDeploymentStrategy,appconfig:DeleteDeploymentStrategy
appconfig,DeleteEnvironment,appconfig:DeleteEnvironment
appconfig,DeleteExtension,appconfig:DeleteExtension
appconfig,DeleteExtensionAssociation,appconfig:DeleteExtensionAssociation
appconfig,DeleteHostedConfigurationVersion,appconfig:DeleteHostedConfigurationVersion
appconfig,GetApplication,appconfig:GetApplication
appconfig,GetConfiguration,appconfig:GetConfiguration
appconfig,GetConfigurationProfile,appconfig:GetConfigurationProfile
appconfig,GetDeployment,appconfig:GetDeployment
appconfig,GetDeploymentStrategy,appconfig:GetDeploymentStrategy
appconfig,GetEnvironment,appconfig:GetEnvironment
appconfig,GetExtension,appconfig:GetExtension
appconfig,GetExtensionAssociation,appconfig:GetExtensionAssociation
appconfig,GetHostedConfigurationVersion,appconfig:GetHostedConfigurationVersion
appconfig,GetLatestConfiguration,appconfig:GetLatestConfiguration
appconfig,ListApplications,appconfig:ListApplications
appconfig,ListConfigurationProfiles,appconfig:ListConfigurationProfiles
appconfig,ListDeploymentStrategies,appconfig:ListDeploymentStrategies
appconfig,ListDeployments,appconfig:ListDeployments
appconfig,ListEnvironments,appconfig:ListEnvironments
appconfig,ListExtensionAssociations,appconfig:ListExtensionAssociations
appconfig,ListExtensions,appconfig:ListExtensions
appconfig,ListHostedConfigurationVersions,appconfig:ListHostedConfigurationVersions
appconfig,ListTagsForResource,appconfig:ListTagsForResource
appconfig,StartConfigurationSession,appconfig:StartConfigurationSession
appconfig,StartDeployment,appconfig:StartDeployment
appconfig,StopDeployment,appconfig:StopDeployment
appconfig,TagResource,appconfig:TagResource
